,Unnamed: 0,game_id,home,away,lead_change_count,explosive_play_delta,win_prob_volatility,start_date,week,season_type,home_team,away_team,home_conference,away_conference,excitement_index,home_pregame_elo,away_pregame_elo,attendance,venue
0,1,401012246,Alabama,Louisville,0,2,0.105939434261166,2018-09-02T00:00:00.000Z,1.0,regular,Alabama,Louisville,SEC,ACC,0.394188331699999,1986.0,1701.0,57280.0,Camping World Stadium
1,2,401012247,Arkansas,Eastern Illinois,0,0,0.155686906033184,2018-09-01T20:00:00.000Z,1.0,regular,Arkansas,Eastern Illinois,SEC,OVC,0.179641016199999,,,63342.0,Razorback Stadium
2,3,401012248,Auburn,Washington,2,0,0.144544974202262,2018-09-01T19:30:00.000Z,1.0,regular,Auburn,Washington,SEC,Pac-12,7.48070415839999,1829.0,1839.0,70103.0,Mercedes-Benz Stadium
3,4,401012249,Florida,Charleston Southern,0,3,0.119152580966085,2018-09-01T23:30:00.000Z,1.0,regular,Florida,Charleston Southern,SEC,Big South,0.0448168873999993,,,81164.0,Ben Hill Griffin Stadium
4,5,401012250,Georgia,Austin Peay,0,6,0.137374686984738,2018-09-01T19:30:00.000Z,1.0,regular,Georgia,Austin Peay,SEC,OVC,0.0234045444000003,,,92746.0,Sanford Stadium
5,6,401012251,Kentucky,Central Michigan,3,4,0.250524010280389,2018-09-01T19:30:00.000Z,1.0,regular,Kentucky,Central Michigan,SEC,Mid-American,5.87733304869999,1453.0,1424.0,49138.0,Kroger Field
6,7,401012253,Texas Tech,Ole Miss,0,6,0.0840872124854624,2018-09-01T16:00:00.000Z,1.0,regular,Texas Tech,Ole Miss,Big 12,SEC,3.6518173425,1518.0,1533.0,40333.0,NRG Stadium
7,8,401012254,Mississippi State,Stephen F. Austin,0,10,0.0832950267981135,2018-09-01T23:30:00.000Z,1.0,regular,Mississippi State,Stephen F. Austin,SEC,Southland,0.0254067829000002,,,54289.0,Davis Wade Stadium
8,9,401012255,Missouri,UT Martin,0,6,0.109125505534007,2018-09-01T20:00:00.000Z,1.0,regular,Missouri,UT Martin,SEC,OVC,0.0905773775999997,,,44019.0,Memorial Stadium
9,10,401012256,South Carolina,Coastal Carolina,0,4,0.107326441238283,2018-09-01T16:00:00.000Z,1.0,regular,South Carolina,Coastal Carolina,SEC,Sun Belt,0.182912192500001,1572.0,1315.0,75126.0,Williams-Brice Stadium
10,11,401012257,Tennessee,West Virginia,0,5,0.157881650842628,2018-09-01T19:30:00.000Z,1.0,regular,Tennessee,West Virginia,SEC,Big 12,2.82384215719999,1411.0,1568.0,66793.0,Bank of America Stadium
11,12,401012258,Texas A&M,Northwestern State,0,17,0.118386001699813,2018-08-31T00:30:00.000Z,1.0,regular,Texas A&M,Northwestern State,SEC,Southland,0.0327134787999997,,,95855.0,Kyle Field
