"","game_id","home","away","lead_change_count","explosive_play_delta","win_prob_volatility"
"1",401012246,"Alabama","Louisville",0,2,0.105939434261166
"2",401012247,"Arkansas","Eastern Illinois",0,0,0.155686906033184
"3",401012248,"Auburn","Washington",2,0,0.144544974202262
"4",401012249,"Florida","Charleston Southern",0,3,0.119152580966085
"5",401012250,"Georgia","Austin Peay",0,6,0.137374686984738
"6",401012251,"Kentucky","Central Michigan",3,4,0.250524010280389
"7",401012253,"Texas Tech","Ole Miss",0,6,0.0840872124854624
"8",401012254,"Mississippi State","Stephen F. Austin",0,10,0.0832950267981135
"9",401012255,"Missouri","UT Martin",0,6,0.109125505534007
"10",401012256,"South Carolina","Coastal Carolina",0,4,0.107326441238283
"11",401012257,"Tennessee","West Virginia",0,5,0.157881650842628
"12",401012258,"Texas A&M","Northwestern State",0,17,0.118386001699813
"13",401012259,"Vanderbilt","Middle Tennessee",0,2,0.144029358362155
"14",401012260,"Alabama","Arkansas State",0,8,0.08786202706901
"15",401012261,"Colorado State","Arkansas",1,2,0.206768188777305
"16",401012262,"Auburn","Alabama State",0,16,0.168494510623607
"17",401012263,"Florida","Kentucky",2,0,0.231499836555928
"18",401012264,"LSU","SE Louisiana",0,0,0.14600822554634
"19",401012265,"Ole Miss","Southern Illinois",5,1,0.233006617871806
"20",401012266,"Kansas State","Mississippi State",0,7,0.190557768913404
"21",401012267,"Missouri","Wyoming",0,6,0.179182242638202
"22",401012268,"South Carolina","Georgia",0,3,0.118616515424066
"23",401012269,"Tennessee","East Tennessee State",0,4,0.146531474975234
"24",401012270,"Texas A&M","Clemson",1,6,0.183656456178539
"25",401012271,"Vanderbilt","Nevada",0,8,0.1624245150744
"26",401012272,"Arkansas","North Texas",0,3,0.141337570112638
"27",401012273,"Auburn","LSU",2,4,0.23746169342097
"28",401012274,"Florida","Colorado State",0,1,0.177448089327711
"29",401012275,"Georgia","Middle Tennessee",0,6,0.125811204718801
"30",401012276,"Kentucky","Murray State",0,6,0.120706442333547
"31",401012277,"Ole Miss","Alabama",0,7,0.187422355716379
"32",401012278,"Mississippi State","Louisiana",1,11,0.204567306464075
"33",401012279,"Purdue","Missouri",2,1,0.170239507692991
"34",401012281,"Tennessee","UTEP",0,9,0.193785210300292
"35",401012282,"Texas A&M","UL Monroe",0,1,0.149809741120735
"36",401012283,"Notre Dame","Vanderbilt",0,4,0.108354669162116
"37",401012284,"Alabama","Texas A&M",0,6,0.135251995384615
"38",401012285,"Auburn","Arkansas",0,2,0.147074043018786
"39",401012286,"Kentucky","Mississippi State",0,7,0.259172099537634
"40",401012287,"LSU","Louisiana Tech",0,2,0.133652155425098
"41",401012288,"Ole Miss","Kent State",0,5,0.150996999414684
"42",401012289,"Missouri","Georgia",0,6,0.158920266191468
"43",401012290,"Tennessee","Florida",0,2,0.134844630680261
"44",401012291,"Vanderbilt","South Carolina",0,4,0.121319970465846
"45",401012292,"Alabama","Louisiana",0,6,0.103040557925886
"46",401012293,"Texas A&M","Arkansas",0,3,0.0627723357421258
"47",401012294,"Auburn","Southern Miss",0,1,0.149478684975592
"48",401012295,"Georgia","Tennessee",0,8,0.130741639419606
"49",401012296,"Kentucky","South Carolina",0,5,0.175917206158185
"50",401012297,"LSU","Ole Miss",1,7,0.187566466600228
"51",401012298,"Mississippi State","Florida",1,4,0.210716155135548
"52",401012299,"Vanderbilt","Tennessee State",3,4,0.182278347622412
"53",401012300,"Arkansas","Alabama",0,4,0.0834973939371853
"54",401012301,"Florida","LSU",3,2,0.189815490795
"55",401012302,"Georgia","Vanderbilt",1,7,0.192159596925514
"56",401012303,"Ole Miss","UL Monroe",0,5,0.128410676735149
"57",401012304,"Mississippi State","Auburn",0,0,0.204735956041003
"58",401012305,"South Carolina","Missouri",5,2,0.204900943719829
"59",401012306,"Texas A&M","Kentucky",0,10,0.183546465165721
"60",401012307,"Alabama","Missouri",0,5,0.0895668419648694
"61",401012308,"Arkansas","Ole Miss",1,1,0.194364769074396
"62",401012309,"Auburn","Tennessee",1,3,0.304119799903167
"63",401012310,"LSU","Georgia",0,0,0.172664104754641
"64",401012311,"South Carolina","Texas A&M",0,3,0.200885386334416
"65",401012312,"Vanderbilt","Florida",1,4,0.316909481213571
"66",401012313,"Arkansas","Tulsa",0,0,0.192354473129367
"67",401012314,"Kentucky","Vanderbilt",0,0,0.219591351747588
"68",401012315,"LSU","Mississippi State",0,0,0.14705288793018
"69",401012316,"Ole Miss","Auburn",0,3,0.182669525720866
"70",401012317,"Missouri","Memphis",0,7,0.13245304078938
"71",401012318,"Tennessee","Alabama",0,6,0.0982792464488734
"72",401012319,"Arkansas","Vanderbilt",0,2,0.189370498904353
"73",401012320,"Georgia","Florida",2,5,0.136801824239658
"74",401012321,"Mississippi State","Texas A&M",2,3,0.157403168706388
"75",401012322,"Missouri","Kentucky",1,2,0.205857172668992
"76",401012323,"South Carolina","Tennessee",0,4,0.188705706881656
"77",401012324,"Auburn","Texas A&M",5,4,0.241720844065692
"78",401012325,"Florida","Missouri",1,2,0.209522865071876
"79",401012326,"Kentucky","Georgia",0,9,0.147857082754274
"80",401012327,"LSU","Alabama",0,9,0.157955972772994
"81",401012328,"Ole Miss","South Carolina",3,7,0.227481187166701
"82",401012329,"Mississippi State","Louisiana Tech",0,12,0.089239057447787
"83",401012330,"Tennessee","Charlotte",0,3,0.155957065848556
"84",401012331,"Alabama","Mississippi State",0,2,0.102577780220208
"85",401012332,"Arkansas","LSU",0,5,0.142458871394615
"86",401012333,"Florida","South Carolina",1,7,0.222298429158392
"87",401012334,"Georgia","Auburn",2,8,0.245420443534748
"88",401012335,"Missouri","Vanderbilt",1,1,0.235250231029593
"89",401012336,"Tennessee","Kentucky",0,4,0.1926670513169
"90",401012337,"Texas A&M","Ole Miss",0,2,0.233551861009056
"91",401012338,"Alabama","The Citadel",0,6,0.22346476336851
"92",401012339,"Auburn","Liberty",0,12,0.1397397759016
"93",401012340,"Florida","Idaho",0,9,0.0545296947493295
"94",401012341,"Georgia","Massachusetts",0,10,0.108158794326088
"95",401012342,"Kentucky","Middle Tennessee",0,3,0.0939050160967471
"96",401012343,"LSU","Rice",0,12,0.127355147169775
"97",401012344,"Mississippi State","Arkansas",0,5,0.157682122997026
"98",401012345,"South Carolina","Chattanooga",0,5,0.135988785358198
"99",401012346,"Tennessee","Missouri",2,2,0.173513683379769
"100",401012347,"Texas A&M","UAB",0,6,0.144281416891553
"101",401012348,"Vanderbilt","Ole Miss",1,5,0.156930342974928
"102",401012349,"Ole Miss","Mississippi State",0,2,0.173548330070764
"103",401012350,"Alabama","Auburn",0,8,0.167508855773174
"104",401012351,"Florida State","Florida",0,6,0.164209535375154
"105",401012352,"Georgia","Georgia Tech",0,6,0.11468478883596
"106",401012353,"Louisville","Kentucky",0,10,0.12234659616521
"107",401012354,"Missouri","Arkansas",0,1,0.124947175545805
"108",401012355,"Clemson","South Carolina",0,9,0.215956571498078
"109",401012356,"Texas A&M","LSU",1,8,0.263945200337279
"110",401012357,"Vanderbilt","Tennessee",0,4,0.161655421842477
"111",401012675,"Utah","Weber State",1,14,0.210607275749284
"112",401012676,"Arizona","BYU",2,3,0.201213194911226
"113",401012677,"Arizona State","UTSA",0,7,0.0940373754634102
"114",401012678,"USC","UNLV",4,7,0.206205362024923
"115",401012679,"UCLA","Cincinnati",1,1,0.231712980195734
"116",401012680,"Colorado State","Colorado",0,8,0.0979989374761977
"117",401012681,"Oregon","Bowling Green",1,3,0.322463502381704
"118",401012682,"Ohio State","Oregon State",0,9,0.151993888205854
"119",401012683,"Wyoming","Washington State",2,7,0.230458102675004
"120",401012684,"California","North Carolina",0,5,0.167419535133694
"121",401012726,"Houston","Arizona",0,3,0.0999043042844066
"122",401012727,"Arizona State","Michigan State",0,5,0.179948237579254
"123",401012728,"Oklahoma","UCLA",0,2,0.184598130684591
"124",401012729,"Nebraska","Colorado",1,0,0.209853170177172
"125",401012730,"Northern Illinois","Utah",1,2,0.20520782075018
"126",401012731,"Oregon","Portland State",0,8,0.129562545896527
"127",401012732,"Oregon State","Southern Utah",0,12,0.119102175769747
"128",401012733,"Washington","North Dakota",0,12,0.125446804146305
"129",401012734,"Washington State","San José State",0,9,0.100286755316714
"130",401012735,"BYU","California",0,1,0.146121505262319
"131",401012736,"Stanford","USC",0,3,0.126962191248052
"132",401012737,"Arizona","Southern Utah",0,5,0.175188546320418
"133",401012738,"San Diego State","Arizona State",0,0,0.26835297664366
"134",401012739,"Texas","USC",1,0,0.301092632564214
"135",401012740,"UCLA","Fresno State",0,0,0.140678442683327
"136",401012741,"Colorado","New Hampshire",0,5,0.12584652474737
"137",401012742,"Utah","Washington",0,3,0.128006016820335
"138",401012743,"Oregon","San José State",0,4,0.0987871005544038
"139",401012744,"Nevada","Oregon State",0,5,0.162641249237156
"140",401012745,"Washington State","Eastern Washington",0,2,0.135289551671895
"141",401012746,"California","Idaho State",0,8,0.15707630842615
"142",401012747,"Stanford","UC Davis",1,0,0.218374707865001
"143",401012748,"USC","Washington State",6,0,0.223295524687412
"144",401012749,"Oregon","Stanford",0,3,0.14232021300597
"145",401012750,"Oregon State","Arizona",0,11,0.149721089848015
"146",401012751,"Washington","Arizona State",1,5,0.204485628825533
"147",401012752,"Colorado","UCLA",3,0,0.248413349677784
"148",401012753,"Arizona","USC",0,6,0.157351537843927
"149",401012754,"Arizona State","Oregon State",0,2,0.135565048696184
"150",401012755,"Washington","BYU",0,9,0.147776356658349
"151",401012756,"Washington State","Utah",1,2,0.173093149639977
"152",401012757,"California","Oregon",3,2,0.217695069739804
"153",401012758,"Notre Dame","Stanford",0,5,0.145683030516692
"154",401012759,"Arizona","California",2,4,0.190813871074576
"155",401012760,"UCLA","Washington",0,1,0.163854025148625
"156",401012761,"Colorado","Arizona State",0,1,0.198636286430641
"157",401012762,"Oregon State","Washington State",4,0,0.176045270884411
"158",401012763,"Stanford","Utah",0,5,0.175969821603402
"159",401012764,"Utah","Arizona",0,4,0.113789809448109
"160",401012765,"USC","Colorado",0,2,0.250467037800287
"161",401012766,"Oregon","Washington",0,3,0.164460933369702
"162",401012767,"California","UCLA",0,4,0.171246248671156
"163",401012768,"Arizona State","Stanford",0,3,0.214884990167165
