Year,Week_Index,Conference,Mentions_conf,Sentiment_conf,Conference_Opponent,avg_chaos_score
2019,1,ACC,10646,65,ACC,3.0967222158266665
2019,1,ACC,10646,65,Big10,4.73044570565
2019,1,ACC,10646,65,SEC,3.013365301366665
2019,2,ACC,10395,33,ACC,3.526835201809997
2019,2,ACC,10395,33,SEC,1.615957995279997
2019,3,ACC,9445,63,ACC,3.573317951213332
2019,3,ACC,9445,63,Big12,4.59586171422
2019,4,ACC,6990,50,ACC,4.0998293689099965
2019,5,ACC,7643,65,ACC,2.9421117202475
2019,6,ACC,5759,58,ACC,3.7326390538075
2019,7,ACC,5682,62,ACC,2.617989119191999
2019,8,ACC,6218,60,ACC,2.8475890788942846
2019,9,ACC,7529,31,ACC,3.6496583921359997
2019,10,ACC,7169,31,ACC,2.299953072806
2019,11,ACC,8185,39,ACC,2.514693714055999
2019,12,ACC,6623,69,ACC,2.863320845173999
2019,13,ACC,6367,38,ACC,2.03463883197
2019,1,Big10,19024,65,ACC,4.01260584906
2019,1,Big10,19024,65,Pac12,2.085587560429998
2019,1,Big10,19024,65,SEC,3.205753217115
2019,2,Big10,13295,60,ACC,3.2214858020399966
2019,2,Big10,13295,60,Big10,2.3968614697799997
2019,2,Big10,13295,60,SEC,2.4556136027399997
2019,3,Big10,10511,47,ACC,2.26036467634
2019,3,Big10,10511,47,Big10,1.66977289074
2019,3,Big10,10511,47,Big12,3.30701299068
2019,3,Big10,10511,47,Pac12,4.18985052404
2019,4,Big10,16074,-8,ACC,1.717119593169997
2019,4,Big10,16074,-8,Big10,3.1986738900566665
2019,5,Big10,13131,41,Big10,2.6904573690383327
2019,6,Big10,13480,54,Big10,2.374225431241666
2019,7,Big10,12410,27,Big10,2.380086352281665
2019,8,Big10,12882,22,Big10,2.31466358258
2019,9,Big10,12098,45,Big10,2.6290386779549983
2019,10,Big10,9682,34,Big10,2.468466224067499
2019,11,Big10,13612,65,Big10,3.3916387601079996
2019,12,Big10,11057,62,Big10,3.339019064773999
2019,13,Big10,11025,50,Big10,2.911535450497142
2019,1,Big12,16140,69,,
2019,2,Big12,13941,57,SEC,2.629563589729997
2019,3,Big12,16005,47,ACC,3.223557245459997
2019,3,Big12,16005,47,Big10,4.575434693679997
2019,4,Big12,14435,44,Big12,2.80092610653
2019,5,Big12,9708,30,Big12,2.5175529334249984
2019,6,Big12,11272,50,Big12,2.1326701601219997
2019,7,Big12,10372,47,Big12,4.7253253639266655
2019,8,Big12,7528,43,Big12,4.017007456325999
2019,9,Big12,9349,46,Big12,2.6567676407574985
2019,10,Big12,8175,21,Big12,3.1034826055799996
2019,11,Big12,8904,39,Big12,2.8581761644724994
2019,12,Big12,8444,23,Big12,3.240397349803999
2019,13,Big12,7906,56,Big12,3.115056867097999
2019,1,Pac12,11857,54,ACC,4.664778925489997
2019,1,Pac12,11857,54,Big10,2.75293413332
2019,1,Pac12,11857,54,Big12,2.8538670010800002
2019,2,Pac12,8155,47,Big10,4.031329975769997
2019,2,Pac12,8155,47,Pac12,3.708039454869999
2019,3,Pac12,7361,31,Big12,2.6552077427949987
2019,4,Pac12,5958,33,Pac12,3.344581498932499
2019,5,Pac12,5912,54,Pac12,2.9494356783859974
2019,6,Pac12,5241,34,Pac12,4.13259980412
2019,7,Pac12,8368,48,Pac12,2.4159135842325
2019,8,Pac12,6232,40,Pac12,2.4590188909966653
2019,9,Pac12,5688,62,Pac12,3.004461166535999
2019,10,Pac12,6100,45,Pac12,2.545373132277499
2019,11,Pac12,5515,39,Pac12,3.0942498463524992
2019,12,Pac12,4507,62,Pac12,2.128094678575998
2019,13,Pac12,7453,62,Pac12,3.2788786117866664
2019,1,SEC,20556,52,ACC,3.9476363436839996
2019,1,SEC,20556,52,Big12,2.636346369469998
2019,1,SEC,20556,52,Pac12,3.117118349619997
2019,1,SEC,20556,52,SEC,2.0488035620999994
2019,2,SEC,14886,24,Big12,1.829412171989997
2019,2,SEC,14886,24,SEC,2.7309253963799973
2019,3,SEC,13193,44,Big12,3.6737570571099996
2019,3,SEC,13193,44,SEC,2.279401872034998
2019,4,SEC,11602,29,Pac12,2.8422523433499967
2019,4,SEC,11602,29,SEC,2.2123169052239993
2019,5,SEC,10979,19,SEC,2.273389891032499
2019,6,SEC,9113,41,SEC,2.0896772931766656
2019,7,SEC,9844,49,SEC,3.0950710714849987
2019,8,SEC,10585,56,SEC,2.417376848642856
2019,9,SEC,11142,37,SEC,2.553480053433998
2019,10,SEC,9395,36,SEC,2.2207645547174995
