conference,week,chaos_score,Conference,Week_Index,Sentiment_conf
ACC,1,0.37564529376389766,ACC,1,65
ACC,1,0.37564529376389766,ACC,1,68
ACC,1,0.37564529376389766,ACC,1,46
ACC,1,0.37564529376389766,ACC,1,38
ACC,1,0.37564529376389766,ACC,1,35
ACC,2,0.45138320407219695,ACC,2,33
ACC,2,0.45138320407219695,ACC,2,27
ACC,2,0.45138320407219695,ACC,2,41
ACC,2,0.45138320407219695,ACC,2,36
ACC,2,0.45138320407219695,ACC,2,39
ACC,3,0.44268378036613437,ACC,3,63
ACC,3,0.44268378036613437,ACC,3,17
ACC,3,0.44268378036613437,ACC,3,28
ACC,3,0.44268378036613437,ACC,3,56
ACC,3,0.44268378036613437,ACC,3,58
ACC,4,0.49061257397457564,ACC,4,50
ACC,4,0.49061257397457564,ACC,4,64
ACC,4,0.49061257397457564,ACC,4,33
ACC,4,0.49061257397457564,ACC,4,47
ACC,4,0.49061257397457564,ACC,4,62
ACC,5,0.558589917272685,ACC,5,65
ACC,5,0.558589917272685,ACC,5,31
ACC,5,0.558589917272685,ACC,5,37
ACC,5,0.558589917272685,ACC,5,38
ACC,5,0.558589917272685,ACC,5,57
ACC,6,0.5015908266360724,ACC,6,58
ACC,6,0.5015908266360724,ACC,6,29
ACC,6,0.5015908266360724,ACC,6,42
ACC,6,0.5015908266360724,ACC,6,28
ACC,6,0.5015908266360724,ACC,6,37
ACC,7,0.46911712727493393,ACC,7,62
ACC,7,0.46911712727493393,ACC,7,43
ACC,7,0.46911712727493393,ACC,7,-3
ACC,7,0.46911712727493393,ACC,7,26
ACC,7,0.46911712727493393,ACC,7,8
ACC,8,0.4818762991426049,ACC,8,60
ACC,8,0.4818762991426049,ACC,8,51
ACC,8,0.4818762991426049,ACC,8,32
ACC,8,0.4818762991426049,ACC,8,20
ACC,8,0.4818762991426049,ACC,8,57
ACC,9,0.4382357481115746,ACC,9,31
ACC,9,0.4382357481115746,ACC,9,57
ACC,9,0.4382357481115746,ACC,9,43
ACC,9,0.4382357481115746,ACC,9,33
ACC,9,0.4382357481115746,ACC,9,-12
ACC,10,0.4882365460257402,ACC,10,31
ACC,10,0.4882365460257402,ACC,10,3
