Year,dummy2020,AN Conference,Sentiment_conf,Conference,Week_Index,Mentions_conf,conflosing%total,WeeklyConfWinPCTTotal,Total Games Played,Total Count of wins,Total count of losses,total points for,total points against,total point difference,Conflosing%nonconf,WeeklyConfWinPCTinNonConfGames,non conference games played,total count of non conference wins,count of non conference losses,points for non conference,points against non conference,point difference non conference,conference games played,count of conference wins,count of conference losses,points for in conference,points against in conference,point difference in conference,games vs power five,wins vs power five,losses vs power five,points for vs power five,points against vs power five ,point difference vs power five,games vs FCS,wins vs FCS,losses vs FCS,points for vs FCS,points against vs FCS,point difference vs FCS
2019,0,ACCW1,65,ACC,1,10646,0.466666667,0.533333333,15,8,7,399,388,11,0.428571429,0.571428571,7,4,3,174,163,11,8,4,4,225,225,0,11,5,6,272,311,-39,0,0,0,0,0,0.0
2019,0,ACCW2,33,ACC,2,10395,0.142857143,0.857142857,14,12,2,473,271,202,,0.916666667,12,11,1,420,218,202,2,1,1,53,53,0,4,2,2,97,126,-29,5,5,0,225,43,182.0
2019,0,ACCW3,63,ACC,3,9445,0.466666667,0.533333333,15,8,7,461,350,111,,0.555555556,9,5,4,317,206,111,6,3,3,144,144,0,9,3,6,205,253,-48,3,2,1,111,44,67.0
2019,0,ACCW4,50,ACC,4,6990,0.25,0.75,12,9,3,404,268,136,,0.8,10,8,2,345,209,136,2,1,1,59,59,0,4,2,2,106,98,8,1,1,0,49,7,42.0
2019,0,ACCW5,65,ACC,5,7643,0.461538462,0.538461538,13,7,6,306,287,19,,0.666666667,3,2,1,60,41,19,10,5,5,246,246,0,10,5,5,246,246,0,2,2,0,58,17,41.0
2019,0,ACCW6,58,ACC,6,5759,0.444444444,0.555555556,9,5,4,332,280,52,,1.0,1,1,0,52,0,52,8,4,4,280,280,0,8,4,4,280,280,0,0,0,0,0,0,0.0
2019,0,ACCW7,62,ACC,7,5682,0.25,0.75,12,9,3,404,268,136,,0.8,10,8,2,345,209,136,2,1,1,59,59,0,4,2,2,106,98,8,1,1,0,49,7,42.0
2019,0,ACCW8,60,ACC,8,6218,0.5,0.5,14,7,7,408,408,0,,,0,0,0,0,0,0,14,7,7,408,408,0,14,7,7,408,408,0,0,0,0,0,0,0.0
2019,0,ACCW9,31,ACC,9,7529,0.545454545,0.454545455,11,5,6,246,277,-31,,0.0,1,0,1,14,45,-31,10,5,5,232,232,0,11,5,6,246,277,-31,0,0,0,0,0,0.0
2019,0,ACCW10,31,ACC,10,7169,0.461538462,0.538461538,13,7,6,375,330,45,,1.0,1,1,0,59,14,45,12,6,6,316,316,0,12,6,6,316,316,0,1,1,0,59,14,45.0
2019,0,ACCW11,39,ACC,11,8185,0.5,0.5,12,6,6,372,372,0,,,0,0,0,0,0,0,12,6,6,372,372,0,12,6,6,372,372,0,0,0,0,0,0,0.0
2019,0,ACCW12,69,ACC,12,6623,0.416666667,0.583333333,12,7,5,371,302,69,,1.0,2,2,0,101,32,69,10,5,5,270,270,0,10,5,5,270,270,0,1,1,0,49,12,37.0
2019,0,ACCW13,38,ACC,13,6367,0.461538462,0.538461538,13,7,6,420,349,71,,0.666666667,3,2,1,135,64,71,10,5,5,285,285,0,10,5,5,285,285,0,1,1,0,56,7,49.0
2019,0,ACCW14,46,ACC,14,7171,0.533333333,0.466666667,15,7,8,398,442,-44,,0.4,5,2,3,120,164,-44,10,5,5,278,278,0,15,7,8,398,442,-44,0,0,0,0,0,0.0
2019,0,ACCW15,63,ACC,15,5895,0.5,0.5,2,1,1,79,79,0,,,0,0,0,0,0,0,2,1,1,79,79,0,2,1,1,79,79,0,0,0,0,0,0,0.0
2019,0,ACCW16,75,ACC,16,5860,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,ACCW17,88,ACC,17,5935,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,ACCW18,46,ACC,18,6300,0.375,0.625,8,5,3,238,180,58,,0.625,8,5,3,238,180,58,0,0,0,0,0,0,5,3,2,149,123,26,0,0,0,0,0,0.0
2019,0,ACCW19,8,ACC,19,11534,1.0,0.0,3,0,3,50,95,-45,,0.0,3,0,3,50,95,-45,0,0,0,0,0,0,2,0,2,44,57,-13,0,0,0,0,0,0.0
2019,0,ACCW20,49,ACC,20,4149,1.0,0.0,1,0,1,25,42,-17,,0.0,1,0,1,25,42,-17,0,0,0,0,0,0,1,0,1,25,42,-17,0,0,0,0,0,0.0
2019,0,Big10W1,65,Big10,1,19024,0.142857143,0.857142857,14,12,2,583,211,372,,0.857142857,14,12,2,583,211,372,0,0,0,0,0,0,1,0,1,7,17,-10,3,3,0,186,28,158.0
2019,0,Big10W2,60,Big10,2,13295,0.153846154,0.846153846,13,11,2,510,217,293,,0.909090909,11,10,1,480,187,293,2,1,1,30,30,0,5,3,2,166,108,58,1,1,0,52,0,52.0
2019,0,Big10W3,47,Big10,3,10511,0.454545455,0.545454545,11,6,5,273,240,33,,0.555555556,9,5,4,212,179,33,2,1,1,61,61,0,6,3,3,116,132,-16,0,0,0,0,0,0.0
2019,0,Big10W4,-8,Big10,4,16074,0.444444444,0.555555556,9,5,4,300,208,92,,0.666666667,3,2,1,130,38,92,6,3,3,170,170,0,7,3,4,186,200,-14,0,0,0,0,0,0.0
2019,0,Big10W5,41,Big10,5,13131,0.461538462,0.538461538,13,7,6,393,348,45,,1.0,1,1,0,48,3,45,12,6,6,345,345,0,12,6,6,345,345,0,0,0,0,0,0,0.0
2019,0,Big10W6,54,Big10,6,13480,0.461538462,0.538461538,13,7,6,282,234,48,,1.0,1,1,0,48,0,48,12,6,6,234,234,0,12,6,6,234,234,0,0,0,0,0,0,0.0
2019,0,Big10W7,27,Big10,7,12410,0.444444444,0.555555556,9,5,4,300,208,92,,0.666666667,3,2,1,130,38,92,6,3,3,170,170,0,7,3,4,186,200,-14,0,0,0,0,0,0.0
2019,0,Big10W8,22,Big10,8,12882,0.5,0.5,12,6,6,308,308,0,,,0,0,0,0,0,0,12,6,6,308,308,0,12,6,6,308,308,0,0,0,0,0,0,0.0
2019,0,Big10W9,45,Big10,9,12098,0.428571429,0.571428571,14,8,6,350,309,41,,1.0,2,2,0,89,48,41,12,6,6,261,261,0,12,6,6,261,261,0,0,0,0,0,0,0.0
2019,0,Big10W10,34,Big10,10,9682,0.5,0.5,8,4,4,188,188,0,,,0,0,0,0,0,0,8,4,4,188,188,0,8,4,4,188,188,0,0,0,0,0,0,0.0
2019,0,Big10W11,65,Big10,11,13612,0.5,0.5,10,5,5,307,307,0,,,0,0,0,0,0,0,10,5,5,307,307,0,10,5,5,307,307,0,0,0,0,0,0,0.0
2019,0,Big10W12,62,Big10,12,11057,0.454545455,0.545454545,11,6,5,337,298,39,,1.0,1,1,0,45,6,39,10,5,5,292,292,0,10,5,5,292,292,0,0,0,0,0,0,0.0
2019,0,Big10W13,50,Big10,13,11025,0.5,0.5,14,7,7,344,344,0,,,0,0,0,0,0,0,14,7,7,344,344,0,14,7,7,344,344,0,0,0,0,0,0,0.0
2019,0,Big10W14,32,Big10,14,19437,0.5,0.5,14,7,7,381,381,0,,,0,0,0,0,0,0,14,7,7,381,381,0,14,7,7,381,381,0,0,0,0,0,0,0.0
2019,0,Big10W15,57,Big10,15,15198,0.5,0.5,2,1,1,55,55,0,,,0,0,0,0,0,0,2,1,1,55,55,0,2,1,1,55,55,0,0,0,0,0,0,0.0
2019,0,Big10W16,47,Big10,16,10692,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,Big10W17,23,Big10,17,12018,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,Big10W18,69,Big10,18,9169,0.4,0.6,5,3,2,172,148,24,,0.6,5,3,2,172,148,24,0,0,0,0,0,0,4,2,2,119,109,10,0,0,0,0,0,0.0
2019,0,Big10W19,22,Big10,19,17191,0.75,0.25,4,1,3,96,110,-14,,0.25,4,1,3,96,110,-14,0,0,0,0,0,0,4,1,3,96,110,-14,0,0,0,0,0,0.0
2019,0,Big10W20,48,Big10,20,4431,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,Big12W1,69,Big12,1,16140,0.0,1.0,10,10,0,408,185,223,,1.0,10,10,0,408,185,223,0,0,0,0,0,0,1,1,0,52,36,16,7,7,0,262,104,158.0
2019,0,Big12W2,57,Big12,2,13941,0.375,0.625,8,5,3,331,140,191,,0.625,8,5,3,331,140,191,0,0,0,0,0,0,2,0,2,45,83,-38,2,2,0,126,28,98.0
2019,0,Big12W3,47,Big12,3,16005,0.222222222,0.777777778,9,7,2,324,182,142,,0.777777778,9,7,2,324,182,142,0,0,0,0,0,0,7,5,2,236,148,88,0,0,0,0,0,0.0
2019,0,Big12W4,44,Big12,4,14435,0.428571429,0.571428571,7,4,3,250,193,57,,0.666666667,3,2,1,131,74,57,4,2,2,119,119,0,4,2,2,119,119,0,0,0,0,0,0,0.0
2019,0,Big12W5,30,Big12,5,9708,0.5,0.5,8,4,4,219,219,0,,,0,0,0,0,0,0,8,4,4,219,219,0,8,4,4,219,219,0,0,0,0,0,0,0.0
2019,0,Big12W6,50,Big12,6,11272,0.5,0.5,10,5,5,334,334,0,,,0,0,0,0,0,0,10,5,5,334,334,0,10,5,5,334,334,0,0,0,0,0,0,0.0
2019,0,Big12W7,47,Big12,7,10372,0.428571429,0.571428571,7,4,3,250,193,57,,0.666666667,3,2,1,131,74,57,4,2,2,119,119,0,4,2,2,119,119,0,0,0,0,0,0,0.0
2019,0,Big12W8,43,Big12,8,7528,0.5,0.5,10,5,5,335,335,0,,,0,0,0,0,0,0,10,5,5,335,335,0,10,5,5,335,335,0,0,0,0,0,0,0.0
2019,0,Big12W9,46,Big12,9,9349,0.5,0.5,8,4,4,285,285,0,,,0,0,0,0,0,0,8,4,4,285,285,0,8,4,4,285,285,0,0,0,0,0,0,0.0
2019,0,Big12W10,21,Big12,10,8175,0.5,0.5,6,3,3,140,140,0,,,0,0,0,0,0,0,6,3,3,140,140,0,6,3,3,140,140,0,0,0,0,0,0,0.0
2019,0,Big12W11,39,Big12,11,8904,0.5,0.5,8,4,4,241,241,0,,,0,0,0,0,0,0,8,4,4,241,241,0,8,4,4,241,241,0,0,0,0,0,0,0.0
2019,0,Big12W12,23,Big12,12,8444,0.5,0.5,10,5,5,261,261,0,,,0,0,0,0,0,0,10,5,5,261,261,0,10,5,5,261,261,0,0,0,0,0,0,0.0
2019,0,Big12W13,56,Big12,13,7906,0.5,0.5,10,5,5,248,248,0,,,0,0,0,0,0,0,10,5,5,248,248,0,10,5,5,248,248,0,0,0,0,0,0,0.0
2019,0,Big12W14,50,Big12,14,10110,0.5,0.5,10,5,5,271,271,0,,,0,0,0,0,0,0,10,5,5,271,271,0,10,5,5,271,271,0,0,0,0,0,0,0.0
2019,0,Big12W15,56,Big12,15,6887,0.5,0.5,2,1,1,53,53,0,,,0,0,0,0,0,0,2,1,1,53,53,0,2,1,1,53,53,0,0,0,0,0,0,0.0
2019,0,Big12W16,63,Big12,16,5023,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,Big12W17,80,Big12,17,7558,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,Big12W18,-11,Big12,18,8381,1.0,0.0,3,0,3,58,120,-62,,0.0,3,0,3,58,120,-62,0,0,0,0,0,0,2,0,2,49,87,-38,0,0,0,0,0,0.0
2019,0,Big12W19,61,Big12,19,5503,0.666666667,0.333333333,3,1,2,69,56,13,,0.333333333,3,1,2,69,56,13,0,0,0,0,0,0,2,1,1,52,36,16,0,0,0,0,0,0.0
2019,0,Big12W20,76,Big12,20,3990,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,Pac12W1,54,Pac12,1,11857,0.333333333,0.666666667,12,8,4,401,262,139,,0.666666667,12,8,4,401,262,139,0,0,0,0,0,0,3,1,2,74,86,-12,2,2,0,74,27,47.0
2019,0,Pac12W2,47,Pac12,2,8155,0.333333333,0.666666667,12,8,4,435,277,158,,0.75,8,6,2,331,173,158,4,2,2,104,104,0,5,3,2,138,135,3,3,3,0,143,65,78.0
2019,0,Pac12W3,31,Pac12,3,7361,0.333333333,0.666666667,12,8,4,346,245,101,,0.666666667,12,8,4,346,245,101,0,0,0,0,0,0,3,2,1,52,69,-17,3,3,0,111,10,101.0
2019,0,Pac12W4,33,Pac12,4,5958,0.4,0.6,10,6,4,348,314,34,,1.0,2,2,0,73,39,34,8,4,4,275,275,0,9,5,4,303,295,8,0,0,0,0,0,0.0
2019,0,Pac12W5,54,Pac12,5,5912,0.5,0.5,10,5,5,230,230,0,,,0,0,0,0,0,0,10,5,5,230,230,0,10,5,5,230,230,0,0,0,0,0,0,0.0
2019,0,Pac12W6,34,Pac12,6,5241,0.5,0.5,8,4,4,204,204,0,,,0,0,0,0,0,0,8,4,4,204,204,0,8,4,4,204,204,0,0,0,0,0,0,0.0
2019,0,Pac12W7,48,Pac12,7,8368,0.4,0.6,10,6,4,348,314,34,,1.0,2,2,0,73,39,34,8,4,4,275,275,0,9,5,4,303,295,8,0,0,0,0,0,0.0
2019,0,Pac12W8,40,Pac12,8,6232,0.5,0.5,12,6,6,284,284,0,,,0,0,0,0,0,0,12,6,6,284,284,0,12,6,6,284,284,0,0,0,0,0,0,0.0
2019,0,Pac12W9,62,Pac12,9,5688,0.5,0.5,10,5,5,319,319,0,,,0,0,0,0,0,0,10,5,5,319,319,0,10,5,5,319,319,0,0,0,0,0,0,0.0
2019,0,Pac12W10,45,Pac12,10,6100,0.5,0.5,8,4,4,280,280,0,,,0,0,0,0,0,0,8,4,4,280,280,0,8,4,4,280,280,0,0,0,0,0,0,0.0
2019,0,Pac12W11,39,Pac12,11,5515,0.5,0.5,8,4,4,165,165,0,,,0,0,0,0,0,0,8,4,4,165,165,0,8,4,4,165,165,0,0,0,0,0,0,0.0
2019,0,Pac12W12,62,Pac12,12,4507,0.5,0.5,10,5,5,290,290,0,,,0,0,0,0,0,0,10,5,5,290,290,0,10,5,5,290,290,0,0,0,0,0,0,0.0
2019,0,Pac12W13,62,Pac12,13,7453,0.5,0.5,12,6,6,373,373,0,,,0,0,0,0,0,0,12,6,6,373,373,0,12,6,6,373,373,0,0,0,0,0,0,0.0
2019,0,Pac12W14,14,Pac12,14,8154,0.545454545,0.454545455,11,5,6,246,267,-21,,0.0,1,0,1,24,45,-21,10,5,5,222,222,0,10,5,5,222,222,0,0,0,0,0,0,0.0
2019,0,Pac12W15,-33,Pac12,15,12179,0.5,0.5,2,1,1,52,52,0,,,0,0,0,0,0,0,2,1,1,52,52,0,2,1,1,52,52,0,0,0,0,0,0,0.0
2019,0,Pac12W16,20,Pac12,16,4782,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,Pac12W17,-6,Pac12,17,5971,0.0,1.0,1,1,0,38,7,31,,1.0,1,1,0,38,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,Pac12W18,-16,Pac12,18,3957,0.666666667,0.333333333,3,1,2,80,100,-20,,0.333333333,3,1,2,80,100,-20,0,0,0,0,0,0,2,1,1,59,69,-10,0,0,0,0,0,0.0
2019,0,Pac12W19,47,Pac12,19,5334,0.333333333,0.666666667,3,2,1,58,79,-21,,0.666666667,3,2,1,58,79,-21,0,0,0,0,0,0,3,2,1,58,79,-21,0,0,0,0,0,0.0
2019,0,Pac12W20,47,Pac12,20,2204,,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2019,0,SECW1,52,SEC,1,20556,0.357142857,0.642857143,14,9,5,412,269,143,,0.666666667,12,8,4,376,233,143,2,1,1,36,36,0,6,4,2,149,104,45,1,1,0,20,13,7.0
2019,0,SECW2,24,SEC,2,14886,0.285714286,0.714285714,14,10,4,533,263,270,,0.75,12,9,3,485,215,270,2,1,1,48,48,0,6,3,3,165,159,6,3,3,0,180,27,153.0
